id,imdb_id,popularity,original_title,cast,director,runtime,genres,production_companies,release_date,vote_count,vote_average,release_year,budget_adj,revenue_adj,release_month,release_month_name,year_by_5,year_by_10,genre_01,genre_02,genre_03,director_01,director_02,cast_num,actor_01,actor_02,actor_03,actor_04
206647,tt2379713,6.200282,Spectre,Daniel Craig|Christoph Waltz|LÃ©a Seydoux|Ralph Fiennes|Monica Bellucci,Sam Mendes,148.0,Action|Adventure|Crime,Columbia Pictures|Danjaq|B24,2015-10-26,3254,6.2,2015,225399900.824043,810220283.783075,10,October,2015-2020,2010-2020,Action,Adventure,Crime,Sam Mendes,nan,5,Daniel Craig,Christoph Waltz,LÃ©a Seydoux,Ralph Fiennes
76757,tt1617661,6.189369,Jupiter Ascending,Mila Kunis|Channing Tatum|Sean Bean|Eddie Redmayne|Douglas Booth,Lana Wachowski|Lilly Wachowski,124.0,Science Fiction|Fantasy|Action|Adventure,Village Roadshow Pictures|Dune Entertainment|Anarchos Productions|Warner Bros.,2015-02-04,1937,5.2,2015,161919931.51523,169268630.681802,2,February,2015-2020,2010-2020,Science Fiction,Fantasy,Action,Lana Wachowski,Lilly Wachowski,5,Mila Kunis,Channing Tatum,Sean Bean,Eddie Redmayne
264660,tt0470752,6.118847,Ex Machina,Domhnall Gleeson|Alicia Vikander|Oscar Isaac|Sonoya Mizuno|Corey Johnson,Alex Garland,108.0,Drama|Science Fiction,DNA Films|Universal Pictures International (UPI)|Film4,2015-01-21,2854,7.6,2015,13799993.9280026,33919845.9552677,1,January,2015-2020,2010-2020,Drama,Science Fiction,nan,Alex Garland,nan,5,Domhnall Gleeson,Alicia Vikander,Oscar Isaac,Sonoya Mizuno
257344,tt2120120,5.984995,Pixels,Adam Sandler|Michelle Monaghan|Peter Dinklage|Josh Gad|Kevin James,Chris Columbus,105.0,Action|Comedy|Science Fiction,Columbia Pictures|Happy Madison Productions,2015-07-16,1575,5.8,2015,80959964.3776156,224146025.095748,7,July,2015-2020,2010-2020,Action,Comedy,Science Fiction,Chris Columbus,nan,5,Adam Sandler,Michelle Monaghan,Peter Dinklage,Josh Gad
99861,tt2395427,5.944927,Avengers: Age of Ultron,Robert Downey Jr.|Chris Hemsworth|Mark Ruffalo|Chris Evans|Scarlett Johansson,Joss Whedon,141.0,Action|Adventure|Science Fiction,Marvel Studios|Prime Focus|Revolution Sun Studios,2015-04-22,4304,7.4,2015,257599886.656049,1292632336.88177,4,April,2015-2020,2010-2020,Action,Adventure,Science Fiction,Joss Whedon,nan,5,Robert Downey Jr.,Chris Hemsworth,Mark Ruffalo,Chris Evans
273248,tt3460252,5.8984,The Hateful Eight,Samuel L. Jackson|Kurt Russell|Jennifer Jason Leigh|Walton Goggins|DemiÃ¡n Bichir,Quentin Tarantino,167.0,Crime|Drama|Mystery|Western,Double Feature Films|The Weinstein Company|FilmColony,2015-12-25,2389,7.4,2015,40479982.1888078,143299244.588332,12,December,2015-2020,2010-2020,Crime,Drama,Mystery,Quentin Tarantino,nan,5,Samuel L. Jackson,Kurt Russell,Jennifer Jason Leigh,Walton Goggins
260346,tt2446042,5.749758,Taken 3,Liam Neeson|Forest Whitaker|Maggie Grace|Famke Janssen|Dougray Scott,Olivier Megaton,109.0,Crime|Action|Thriller,Twentieth Century Fox Film Corporation|M6 Films|Canal+|EuropaCorp|CinÃ©+,2015-01-01,1578,6.1,2015,44159980.5696085,299709578.207785,1,January,2015-2020,2010-2020,Crime,Action,Thriller,Olivier Megaton,nan,5,Liam Neeson,Forest Whitaker,Maggie Grace,Famke Janssen
102899,tt0478970,5.573184,Ant-Man,Paul Rudd|Michael Douglas|Evangeline Lilly|Corey Stoll|Bobby Cannavale,Peyton Reed,115.0,Science Fiction|Action|Adventure,Marvel Studios,2015-07-14,3779,7.0,2015,119599947.376023,477113780.029936,7,July,2015-2020,2010-2020,Science Fiction,Action,Adventure,Peyton Reed,nan,5,Paul Rudd,Michael Douglas,Evangeline Lilly,Corey Stoll
150689,tt1661199,5.556818,Cinderella,Lily James|Cate Blanchett|Richard Madden|Helena Bonham Carter|Holliday Grainger,Kenneth Branagh,112.0,Romance|Fantasy|Family|Drama,Walt Disney Pictures|Genre Films|Beagle Pug Films|Allison Shearmur Productions,2015-03-12,1495,6.8,2015,87399961.5440169,498963025.216268,3,March,2015-2020,2010-2020,Romance,Fantasy,Family,Kenneth Branagh,nan,5,Lily James,Cate Blanchett,Richard Madden,Helena Bonham Carter
131634,tt1951266,5.476958,The Hunger Games: Mockingjay - Part 2,Jennifer Lawrence|Josh Hutcherson|Liam Hemsworth|Woody Harrelson|Elizabeth Banks,Francis Lawrence,136.0,War|Adventure|Science Fiction,Studio Babelsberg|StudioCanal|Lionsgate|Walt Disney Studios Motion Pictures|Color Force,2015-11-18,2380,6.5,2015,147199935.232028,598481289.508232,11,November,2015-2020,2010-2020,War,Adventure,Science Fiction,Francis Lawrence,nan,5,Jennifer Lawrence,Josh Hutcherson,Liam Hemsworth,Woody Harrelson
158852,tt1964418,5.462138,Tomorrowland,Britt Robertson|George Clooney|Raffey Cassidy|Thomas Robinson|Hugh Laurie,Brad Bird,130.0,Action|Family|Science Fiction|Adventure|Mystery,Walt Disney Pictures|Babieka|A113,2015-05-19,1899,6.2,2015,174799923.088033,192312729.942398,5,May,2015-2020,2010-2020,Action,Family,Science Fiction,Brad Bird,nan,5,Britt Robertson,George Clooney,Raffey Cassidy,Thomas Robinson
307081,tt1798684,5.337064,Southpaw,Jake Gyllenhaal|Rachel McAdams|Forest Whitaker|Oona Laurence|50 Cent,Antoine Fuqua,123.0,Action|Drama,Escape Artists|Riche-Ludwig Productions,2015-06-15,1386,7.3,2015,27599987.8560053,84373003.7158783,6,June,2015-2020,2010-2020,Action,Drama,nan,Antoine Fuqua,nan,5,Jake Gyllenhaal,Rachel McAdams,Forest Whitaker,Oona Laurence
254128,tt2126355,4.907832,San Andreas,Dwayne Johnson|Alexandra Daddario|Carla Gugino|Ioan Gruffudd|Archie Panjabi,Brad Peyton,114.0,Action|Drama|Thriller,New Line Cinema|Village Roadshow Pictures|Warner Bros.|Flynn Picture Company,2015-05-27,2060,6.1,2015,101199955.472019,432851374.985395,5,May,2015-2020,2010-2020,Action,Drama,Thriller,Brad Peyton,nan,5,Dwayne Johnson,Alexandra Daddario,Carla Gugino,Ioan Gruffudd
216015,tt2322441,4.71040199999999,Fifty Shades of Grey,Dakota Johnson|Jamie Dornan|Jennifer Ehle|Eloise Mumford|Victor Rasuk,Sam Taylor-Johnson,125.0,Drama|Romance,Focus Features|Trigger Street Productions|Michael De Luca Productions,2015-02-11,1865,5.3,2015,36799983.8080071,524079119.045187,2,February,2015-2020,2010-2020,Drama,Romance,nan,Sam Taylor-Johnson,nan,5,Dakota Johnson,Jamie Dornan,Jennifer Ehle,Eloise Mumford
318846,tt1596363,4.648046,The Big Short,Christian Bale|Steve Carell|Ryan Gosling|Brad Pitt|Melissa Leo,Adam McKay,130.0,Comedy|Drama,Paramount Pictures|Plan B Entertainment|Regency Enterprises,2015-12-11,1545,7.3,2015,25759988.6656049,122678731.541358,12,December,2015-2020,2010-2020,Comedy,Drama,nan,Adam McKay,nan,5,Christian Bale,Steve Carell,Ryan Gosling,Brad Pitt
177677,tt2381249,4.566713,Mission: Impossible - Rogue Nation,Tom Cruise|Jeremy Renner|Simon Pegg|Rebecca Ferguson|Ving Rhames,Christopher McQuarrie,131.0,Action,Paramount Pictures|Skydance Productions|China Movie Channel|Bad Robot|TC Productions,2015-07-23,2349,7.1,2015,137999939.280026,627743451.672881,7,July,2015-2020,2010-2020,Action,nan,nan,Christopher McQuarrie,nan,5,Tom Cruise,Jeremy Renner,Simon Pegg,Rebecca Ferguson
214756,tt2637276,4.564549,Ted 2,Mark Wahlberg|Seth MacFarlane|Amanda Seyfried|Jessica Barth|Giovanni Ribisi,Seth MacFarlane,115.0,Comedy,Universal Pictures|Media Rights Capital|Fuzzy Door Productions,2015-06-25,1666,6.3,2015,62559972.4736121,198594430.13845,6,June,2015-2020,2010-2020,Comedy,nan,nan,Seth MacFarlane,nan,5,Mark Wahlberg,Seth MacFarlane,Amanda Seyfried,Jessica Barth
207703,tt2802144,4.503789,Kingsman: The Secret Service,Taron Egerton|Colin Firth|Samuel L. Jackson|Michael Caine|Mark Strong,Matthew Vaughn,130.0,Crime|Comedy|Action|Adventure,Twentieth Century Fox Film Corporation|Marv Films|TSG Entertainment|Cloudy Productions,2015-01-24,3833,7.6,2015,74519967.2112144,371497801.660967,1,January,2015-2020,2010-2020,Crime,Comedy,Action,Matthew Vaughn,nan,5,Taron Egerton,Colin Firth,Samuel L. Jackson,Michael Caine
314365,tt1895587,4.062293,Spotlight,Mark Ruffalo|Michael Keaton|Rachel McAdams|Liev Schreiber|John Slattery,Tom McCarthy,128.0,Drama|Thriller|History,Participant Media|Open Road Films|Anonymous Content|Rocklin / Faust|Entertainment One Features,2015-11-06,1559,7.8,2015,18399991.9040035,81278719.3973634,11,November,2015-2020,2010-2020,Drama,Thriller,History,Tom McCarthy,nan,5,Mark Ruffalo,Michael Keaton,Rachel McAdams,Liev Schreiber
294254,tt4046784,3.968891,Maze Runner: The Scorch Trials,Dylan O'Brien|Kaya Scodelario|Thomas Brodie-Sangster|Giancarlo Esposito|Aidan Gillen,Wes Ball,132.0,Action|Science Fiction|Thriller,Gotham Group|Temple Hill Entertainment|TSG Entertainment,2015-09-09,1849,6.4,2015,56119975.3072108,286356245.923251,9,September,2015-2020,2010-2020,Action,Science Fiction,Thriller,Wes Ball,nan,5,Dylan O'Brien,Kaya Scodelario,Thomas Brodie-Sangster,Giancarlo Esposito
280996,tt3168230,3.927333,Mr. Holmes,Ian McKellen|Milo Parker|Laura Linney|Hattie Morahan|Patrick Kennedy,Bill Condon,103.0,Mystery|Drama,BBC Films|See-Saw Films|FilmNation Entertainment|Archer Gray|AI-Film,2015-06-19,425,6.4,2015,19419965.007528078,27006774.877019,6,June,2015-2020,2010-2020,Mystery,Drama,nan,Bill Condon,nan,5,Ian McKellen,Milo Parker,Laura Linney,Hattie Morahan
198184,tt1823672,3.899557,Chappie,Sharlto Copley|Dev Patel|Ninja|Yolandi Visser|Jose Pablo Cantillo,Neill Blomkamp,120.0,Crime|Action|Science Fiction,Columbia Pictures|Media Rights Capital|Sony Pictures Entertainment (SPE)|Alpha Core|Genre Films,2015-03-04,1990,6.6,2015,45079980.1648087,93903685.2423785,3,March,2015-2020,2010-2020,Crime,Action,Science Fiction,Neill Blomkamp,nan,5,Sharlto Copley,Dev Patel,Ninja,Yolandi Visser
254470,tt2848292,3.877764,Pitch Perfect 2,Anna Kendrick|Rebel Wilson|Hailee Steinfeld|Brittany Snow|Skylar Astin,Elizabeth Banks,115.0,Comedy|Music,Universal Pictures|Gold Circle Films|Brownstone Productions,2015-05-07,1264,6.8,2015,26679988.2608051,264505582.097543,5,May,2015-2020,2010-2020,Comedy,Music,nan,Elizabeth Banks,nan,5,Anna Kendrick,Rebel Wilson,Hailee Steinfeld,Brittany Snow
296098,tt3682448,3.64821,Bridge of Spies,Tom Hanks|Mark Rylance|Amy Ryan|Alan Alda|Sebastian Koch,Steven Spielberg,141.0,Thriller|Drama,DreamWorks SKG|Amblin Entertainment|Studio Babelsberg|Fox 2000 Pictures|Marc Platt Productions,2015-10-15,1638,7.1,2015,36799983.8080071,149601569.335309,10,October,2015-2020,2010-2020,Thriller,Drama,nan,Steven Spielberg,nan,5,Tom Hanks,Mark Rylance,Amy Ryan,Alan Alda
257445,tt1051904,3.644541,Goosebumps,Jack Black|Dylan Minnette|Odeya Rush|Amy Ryan|Jillian Bell,Rob Letterman,103.0,Adventure|Horror|Comedy,Columbia Pictures|Original Film|Scholastic Entertainment,2015-08-05,600,6.2,2015,53359976.5216103,138157089.01088,8,August,2015-2020,2010-2020,Adventure,Horror,Comedy,Rob Letterman,nan,5,Jack Black,Dylan Minnette,Odeya Rush,Amy Ryan
264644,tt3170832,3.557846,Room,Brie Larson|Jacob Tremblay|Joan Allen|Sean Bridgers|William H. Macy,Lenny Abrahamson,117.0,Drama|Thriller,Element Pictures|No Trace Camping|A24|Duperele Films,2015-10-16,1520,8.0,2015,5519997.57120106,32569603.0293746,10,October,2015-2020,2010-2020,Drama,Thriller,nan,Lenny Abrahamson,nan,5,Brie Larson,Jacob Tremblay,Joan Allen,Sean Bridgers
339527,tt1291570,3.358321,Solace,Abbie Cornish|Jeffrey Dean Morgan|Colin Farrell|Anthony Hopkins|Marley Shelton,Afonso Poyart,101.0,Crime|Drama|Mystery,Eden Rock Media|FilmNation Entertainment|Flynn Picture Company,2015-09-03,474,6.2,2015,19419965.007528078,20566197.1908732,9,September,2015-2020,2010-2020,Crime,Drama,Mystery,Afonso Poyart,nan,5,Abbie Cornish,Jeffrey Dean Morgan,Colin Farrell,Anthony Hopkins
105864,tt1979388,3.339135,The Good Dinosaur,Raymond Ochoa|Jack Bright|Jeffrey Wright|Frances McDormand|Maleah Nipay-Padilla,Peter Sohn,93.0,Adventure|Animation|Comedy|Family|Fantasy,Walt Disney Pictures|Pixar Animation Studios|Buena Vista,2015-11-14,1087,6.6,2015,160999929.160031,305371920.876354,11,November,2015-2020,2010-2020,Adventure,Animation,Comedy,Peter Sohn,nan,5,Raymond Ochoa,Jack Bright,Jeffrey Wright,Frances McDormand
241554,tt2199571,3.23737,Run All Night,Liam Neeson|Ed Harris|Joel Kinnaman|Boyd Holbrook|Bruce McGill,Jaume Collet-Serra,114.0,Action|Crime|Drama|Mystery|Thriller,Vertigo Entertainment|Energy Entertainment|RatPac-Dune Entertainment,2015-03-11,814,6.3,2015,45999979.7600089,65836683.5118592,3,March,2015-2020,2010-2020,Action,Crime,Drama,Jaume Collet-Serra,nan,5,Liam Neeson,Ed Harris,Joel Kinnaman,Boyd Holbrook
167073,tt2381111,3.227329,Brooklyn,Saoirse Ronan|Domhnall Gleeson|Emory Cohen|Emily Bett Rickards|Eileen O'Higgins,John Crowley,111.0,Drama|Romance,Wildgaze Films|Irish Film Board|Item 7|Parallel Film Productions,2015-11-04,754,7.3,2015,10119995.5472019,57110024.5915891,11,November,2015-2020,2010-2020,Drama,Romance,nan,John Crowley,nan,5,Saoirse Ronan,Domhnall Gleeson,Emory Cohen,Emily Bett Rickards
277216,tt1398426,3.202719,Straight Outta Compton,O'Shea Jackson Jr.|Corey Hawkins|Jason Mitchell|Neil Brown Jr.|Aldis Hodge,F. Gary Gray,147.0,Drama|Music,New Line Cinema|Universal Pictures|Legendary Pictures|Cube Vision|Broken Chair Flickz,2015-08-13,918,7.7,2015,25759988.6656049,185504110.098191,8,August,2015-2020,2010-2020,Drama,Music,nan,F. Gary Gray,nan,5,O'Shea Jackson Jr.,Corey Hawkins,Jason Mitchell,Neil Brown Jr.
274854,tt1618442,3.080505,The Last Witch Hunter,Vin Diesel|Rose Leslie|Michael Caine|Elijah Wood|Ã“lafur Darri Ã“lafsson,Breck Eisner,106.0,Fantasy|Action|Adventure,Summit Entertainment|Atmosphere Entertainment MM|One Race Films|Goldmann Pictures|NeoReel,2015-10-21,879,5.6,2015,82799963.568016,129164861.167461,10,October,2015-2020,2010-2020,Fantasy,Action,Adventure,Breck Eisner,nan,5,Vin Diesel,Rose Leslie,Michael Caine,Elijah Wood
321697,tt2080374,3.079522,Steve Jobs,Michael Fassbender|Kate Winslet|Seth Rogen|Katherine Waterston|Jeff Daniels,Danny Boyle,122.0,History|Drama,Universal Pictures|Scott Rudin Productions|Legendary Pictures|The Mark Gordon Company|Management 360,2015-10-09,1035,6.9,2015,27599987.8560053,31686509.2179359,10,October,2015-2020,2010-2020,History,Drama,nan,Danny Boyle,nan,5,Michael Fassbender,Kate Winslet,Seth Rogen,Katherine Waterston
203801,tt1638355,3.053421,The Man from U.N.C.L.E.,Henry Cavill|Armie Hammer|Alicia Vikander|Elizabeth Debicki|Luca Calvani,Guy Ritchie,116.0,Comedy|Action|Adventure,Davis Entertainment|Warner Bros.|Wigram Productions|RatPac-Dune Entertainment,2015-08-13,1548,7.0,2015,68999969.6400133,99493456.5028791,8,August,2015-2020,2010-2020,Comedy,Action,Adventure,Guy Ritchie,nan,5,Henry Cavill,Armie Hammer,Alicia Vikander,Elizabeth Debicki
293863,tt1655441,3.025852,The Age of Adaline,Blake Lively|Michiel Huisman|Harrison Ford|Ellen Burstyn|Kathy Baker,Lee Toland Krieger,112.0,Fantasy|Drama|Romance,Lakeshore Entertainment|Sidney Kimmel Entertainment|Sierra/Affinity,2015-04-16,1221,7.3,2015,22999989.8800044,39219376.6634742,4,April,2015-2020,2010-2020,Fantasy,Drama,Romance,Lee Toland Krieger,nan,5,Blake Lively,Michiel Huisman,Harrison Ford,Ellen Burstyn
325348,tt3072482,3.023253,Hardcore Henry,Sharlto Copley|Haley Bennett|Danila Kozlovskiy|Tim Roth|Andrei Dementiev,Ilya Naishuller,97.0,Action|Adventure|Science Fiction,Bazelevs Production|Versus Pictures,2015-09-12,396,5.9,2015,9199995.95200178,13187080.9976843,9,September,2015-2020,2010-2020,Action,Adventure,Science Fiction,Ilya Naishuller,nan,5,Sharlto Copley,Haley Bennett,Danila Kozlovskiy,Tim Roth
228161,tt2224026,2.976436,Home,Jim Parsons|Rihanna|Steve Martin|Jennifer Lopez|Matt Jones,Tim Johnson,94.0,Fantasy|Comedy|Animation|Science Fiction|Family,Twentieth Century Fox Film Corporation|DreamWorks Animation,2015-03-18,1060,6.9,2015,124199945.352024,339361177.121082,3,March,2015-2020,2010-2020,Fantasy,Comedy,Animation,Tim Johnson,nan,5,Jim Parsons,Rihanna,Steve Martin,Jennifer Lopez
286565,tt3622592,2.968254,Paper Towns,Nat Wolff|Cara Delevingne|Halston Sage|Justice Smith|Austin Abrams,Jake Schreier,109.0,Drama|Mystery|Romance,Fox 2000 Pictures,2015-07-09,1252,6.2,2015,11039995.1424021,78671281.3846362,7,July,2015-2020,2010-2020,Drama,Mystery,Romance,Jake Schreier,nan,5,Nat Wolff,Cara Delevingne,Halston Sage,Justice Smith
265208,tt2231253,2.93234,Wild Card,Jason Statham|Michael Angarano|Milo Ventimiglia|Dominik GarcÃ­a-Lorido|Anne Heche,Simon West,92.0,Thriller|Crime|Drama,Current Entertainment|Lionsgate|Sierra / Affinity|SJ Heat Productions|Silver State Production Services,2015-01-14,481,5.3,2015,27599987.8560053,57064772.97547143,1,January,2015-2020,2010-2020,Thriller,Crime,Drama,Simon West,nan,5,Jason Statham,Michael Angarano,Milo Ventimiglia,Dominik GarcÃ­a-Lorido
254320,tt3464902,2.885126,The Lobster,Colin Farrell|Rachel Weisz|LÃ©a Seydoux|John C. Reilly|Ben Whishaw,Yorgos Lanthimos,118.0,Thriller|Comedy|Drama|Romance|Science Fiction,Haut et Court|Eurimages|Lemming Film|Element Pictures|Nederlands Fonds voor de Film,2015-10-08,638,6.6,2015,3679998.38080071,8339346.45068756,10,October,2015-2020,2010-2020,Thriller,Comedy,Drama,Yorgos Lanthimos,nan,5,Colin Farrell,Rachel Weisz,LÃ©a Seydoux,John C. Reilly
258480,tt2402927,2.883233,Carol,Cate Blanchett|Rooney Mara|Kyle Chandler|Sarah Paulson|Jake Lacy,Todd Haynes,118.0,Romance|Drama,Killer Films|Film4|Number 9 Films,2015-11-20,562,7.1,2015,10855995.2233621,37050347.8978469,11,November,2015-2020,2010-2020,Romance,Drama,nan,Todd Haynes,nan,5,Cate Blanchett,Rooney Mara,Kyle Chandler,Sarah Paulson
257211,tt2361509,2.814802,The Intern,Robert De Niro|Anne Hathaway|Rene Russo|Anders Holm|JoJo Kushner,Nancy Meyers,121.0,Comedy,Waverly Films|Warner Bros.,2015-09-24,1255,7.1,2015,32199985.8320062,178999419.480255,9,September,2015-2020,2010-2020,Comedy,nan,nan,Nancy Meyers,nan,5,Robert De Niro,Anne Hathaway,Rene Russo,Anders Holm
253412,tt2719848,2.798017,Everest,Jason Clarke|Jake Gyllenhaal|Josh Brolin|John Hawkes|Sam Worthington,Baltasar KormÃ¡kur,121.0,Adventure|Drama,Universal Pictures|Working Title Films|Walden Media|Cross Creek Pictures|Free State Pictures,2015-09-10,1172,6.7,2015,50599977.7360098,187153294.93255,9,September,2015-2020,2010-2020,Adventure,Drama,nan,Baltasar KormÃ¡kur,nan,5,Jason Clarke,Jake Gyllenhaal,Josh Brolin,John Hawkes
274479,tt2446980,2.793297,Joy,Jennifer Lawrence|Bradley Cooper|Robert De Niro|Dascha Polanco|Edgar RamÃ­rez,David O. Russell,124.0,Comedy|Drama,Fox 2000 Pictures|Davis Entertainment|Annapurna Pictures|TSG Entertainment,2015-12-24,1001,6.4,2015,55199975.7120106,93043293.3409509,12,December,2015-2020,2010-2020,Comedy,Drama,nan,David O. Russell,nan,5,Jennifer Lawrence,Bradley Cooper,Robert De Niro,Dascha Polanco
257088,tt2058673,2.614499,Point Break,Edgar RamÃ­rez|Luke Bracey|Teresa Palmer|Delroy Lindo|Ray Winstone,Ericson Core,114.0,Action|Crime|Thriller,Studio Babelsberg|Alcon Entertainment|DMG Entertainment|Ehman Productions,2015-12-03,505,5.5,2015,96599957.4960187,123021159.990689,12,December,2015-2020,2010-2020,Action,Crime,Thriller,Ericson Core,nan,5,Edgar RamÃ­rez,Luke Bracey,Teresa Palmer,Delroy Lindo
295964,tt2503944,2.584264,Burnt,Bradley Cooper|Sienna Miller|Lily James|Alicia Vikander|Uma Thurman,John Wells,100.0,Drama,Double Feature Films|PeaPie Films|3 Arts Entertainment,2015-10-02,631,6.3,2015,18399991.9040035,33678188.7415969,10,October,2015-2020,2010-2020,Drama,nan,nan,John Wells,nan,5,Bradley Cooper,Sienna Miller,Lily James,Alicia Vikander
238615,tt2140379,2.578919,Self/less,Ryan Reynolds|Ben Kingsley|Natalie Martinez|Matthew Goode|Michelle Dockery,Tarsem Singh,116.0,Science Fiction|Mystery|Thriller,Endgame Entertainment|Ram Bergman Productions,2015-07-10,719,6.2,2015,23919989.4752046,28081355.5642035,7,July,2015-2020,2010-2020,Science Fiction,Mystery,Thriller,Tarsem Singh,nan,5,Ryan Reynolds,Ben Kingsley,Natalie Martinez,Matthew Goode
210860,tt3045616,2.575711,Mortdecai,Johnny Depp|Gwyneth Paltrow|Ewan McGregor|Paul Bettany|Olivia Munn,David Koepp,106.0,Comedy|Adventure,Lionsgate|Mad Chance|OddLot Entertainment|Huayi Brothers Media,2015-01-21,696,5.3,2015,55199975.7120106,27985062.8865723,1,January,2015-2020,2010-2020,Comedy,Adventure,nan,David Koepp,nan,5,Johnny Depp,Gwyneth Paltrow,Ewan McGregor,Paul Bettany
